,companynames,rating,reviews,location,size,industry,revenue,benefit_ratings,Health_Insurance,Dental_Insurance,FSA,Vision_iInsurance,HSA,Life_Insurance,SLI,Disability_Insurance,Mental_Health_Care,Retiree_Health,Dismemberment_Insurance,Pension_Plan,Retirement_Plan,Employee_Stock,Performance_Bonus,Stock_Options,Equity_Incentive,Supplemental_Workers,Charitable_Gift,Maternity_Leave,Work_From_Home,Fertility_Assistance,Dependent_Care,Adoption_Assistance,Childcare,Flexible_Hours,Military_Leave,Family_Medical_Leave,Paid_Holiday,Paid_time_off,Sick_Days,Volunteer_Time_Off,Sabbatical,Employee_Discount,Free_Lunch_Snacks,Employee_Assistance,Gym_Membership,Commuter_Checks,Pet_Friendly,Mobile_Discount,Company_Car,Company_Social_Events,Travel_Concierge,Legal_Assistance,Diversity_Program,Job_Training,Apprenticeship,Tuition_Assistance,Accident_Insurance,Health_Care_On_Site,retire_401K,Unpaid_Extended_Leave,Bereavement_Leave,Professional_Development,sum,location_state,US
0,3M,3.9,2500,"Saint Paul, MN",Size10000+ employees,Industry Miscellaneous Manufacturing,Revenue $10+ billion (USD) per year,4.1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,MN,1
1,ABB,3.6,2800,"Zurich, Switzerland",Size10000+ employees,Industry Electrical & Electronic Manufacturing,Revenue $10+ billion (USD) per year,3.6,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,38,Switzerland,0
2,ADP,3.7,7600,"Roseland, NJ",Size10000+ employees,Industry Consulting,Revenue $10+ billion (USD) per year,4.0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,43,NJ,1
3,ADT Security Services,2.7,2200,"Boca Raton, FL",Size10000+ employees,Industry Security Services,Revenue $2 to $5 billion (USD) per year,3.6,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,31,FL,1
4,AECOM,3.2,4400,"Los Angeles, CA",Size10000+ employees,Industry Architectural & Engineering Services,Revenue $10+ billion (USD) per year,3.2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,23,CA,1
5,AIG,3.2,3700,"New York, NY",Size10000+ employees,Industry Insurance Carriers,Revenue $10+ billion (USD) per year,4.0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,34,NY,1
6,ALDI,3.3,3200,"Batavia, IL",Size10000+ employees,Industry Grocery Stores & Supermarkets,Revenue Unknown / Non-Applicable,4.2,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,14,IL,1
7,AMC Entertainment,3.1,2400,"Leawood, KS",Size10000+ employees,Industry Movie Theaters,Revenue $2 to $5 billion (USD) per year,2.8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,40,KS,1
8,AMD,3.7,2100,"Santa Clara, CA",Size5001 to 10000 employees,Industry Computer Hardware & Software,Revenue $2 to $5 billion (USD) per year,3.6,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,15,CA,1
9,Aaron's,3.1,1200,"Atlanta, GA",Size10000+ employees,Industry Home Furniture & Housewares Stores,Revenue $2 to $5 billion (USD) per year,3.5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,19,GA,1
